model_name,accuracy,precision,recall,f1_score,roc_auc,cross_val_mean,cross_val_std,training_time_sec,model_size_kb,timestamp,model_key,category,training_time_category,scalability
Stochastic Gradient Descent,0.9693165969316597,0.9644659248854203,0.9693165969316597,0.9652189523349843,0.0,0.9521078918396391,0.006294723825680265,1.4644255638122559,802.529296875,2026-03-11T21:24:13.081018,sgd,linear,fast,high
Gradient Boosting,0.9539748953974896,0.9499705817347632,0.9539748953974896,0.9490927883754443,0.0,0.9332514343510289,0.0038895047379171764,4938.245447397232,7516.8623046875,2026-03-11T21:23:29.486243,gradient_boosting,ensemble,medium,medium
Random Forest,0.9372384937238494,0.9300361995620902,0.9372384937238494,0.9264961300021393,0.0,0.9260662531439363,0.007462018554231061,3.037855625152588,38615.7490234375,2026-03-11T13:46:27.495524,random_forest,ensemble,medium,high
Decision Tree,0.9274755927475593,0.9258725817627715,0.9274755927475593,0.9237133128597564,0.0,0.9125972270705226,0.0074688469982963045,5.671887159347534,171.0078125,2026-03-11T21:24:03.176293,decision_tree,tree-based,fast,medium
Support Vector Machine,0.9107391910739191,0.8787399010438677,0.9107391910739191,0.8879208760436297,0.0,0.886262452673129,0.002463883334475095,1044.8131575584412,113245.142578125,2026-03-11T15:06:52.246540,svm,svm,slow,low
K-Nearest Neighbors,0.9037656903765691,0.8901591673160976,0.9037656903765691,0.8908827388353944,0.0,0.8916516742300153,0.005516829436898232,0.00576019287109375,65280.97265625,2026-03-11T21:23:36.638720,knn,instance-based,fast,low
Logistic Regression,0.8800557880055788,0.8248923643991318,0.8800557880055788,0.8463385516381727,0.0,0.8605193201041862,0.005975865838955397,23.521501541137695,1602.892578125,2026-03-11T13:46:09.777924,logistic_regression,linear,fast,high
Multinomial Naive Bayes,0.793584379358438,0.7041754792139445,0.793584379358438,0.7256244661807837,0.0,0.7797051636637039,0.005529391515921513,0.10490870475769043,3204.6552734375,2026-03-11T21:23:32.311709,naive_bayes,bayesian,fast,high
LightGBM,0.5313807531380753,0.5070082815253905,0.5313807531380753,0.5148999467710965,0.0,0.7093064991094046,0.25194565612701636,1.7644307613372803,2436.3935546875,2026-03-11T21:24:28.412529,lightgbm,ensemble,medium,high
